Type	ID	Name	Description	Target	MoA
cp	BRD-K38615104	A-443644	AKT inhibitor	AKT1, AKT2, AKT3, CDC42BPB, GSK3B, PHKG1, PKIA, PRKACA	AKT inhibitor
cp	BRD-K56301217	ABT-737	BCL inhibitor	BCL2, BCL2L1, BCL2L2	BCL inhibitor
cp	BRD-K91623615	ABT-751	Tubulin inhibitor	TUBB	Tubulin inhibitor
cp	BRD-K93176058	AC-55649	Retinoid receptor agonist	RARB, RARA	Retinoid receptor agonist
cp	BRD-K00615600	AG-14361	PARP inhibitor	PARP1	PARP inhibitor
cp	BRD-K33204703	AG-370	PDGFR receptor inhibitor	PDGFRB	PDGFR receptor inhibitor
cp	BRD-K12357156	AG-490	EGFR inhibitor	JAK2, JAK3, EGFR, STAT3	EGFR inhibitor, ErbB2 inhibitor, JAK inhibitor
cp	BRD-K81209512	AG-494	EGFR inhibitor	EGFR	EGFR inhibitor, Tyrosine kinase inhibitor
cp	BRD-K89930444	AG-592	Tyrosine kinase inhibitor		Tyrosine kinase inhibitor
cp	BRD-K59469039	AG-879	Angiogenesis inhibitor	ERBB2, KDR, NTRK1	Angiogenesis inhibitor, Tyrosine kinase inhibitor, VEGFR inhibitor
cp	BRD-K36737713	AG-957	Protein tyrosine kinase inhibitor	ABL1, EGFR	Protein tyrosine kinase inhibitor
cp	BRD-K51223576	AG-99	Tyrosine kinase inhibitor	EGFR	Tyrosine kinase inhibitor
cp	BRD-K32536677	AGK-2	SIRT inhibitor	SIRT2	SIRT inhibitor
cp	BRD-A67373739	AICA-ribonucleotide	AMPK activator	ATIC, PRKAA1	AMPK activator
cp	BRD-K04887706	AKT-inhibitor-1-2	AKT inhibitor	AKT1, AKT2, AKT3	AKT inhibitor
cp	BRD-K28296557	AKT-inhibitor-IV	AKT inhibitor	AKT1	AKT inhibitor
cp	BRD-K68191783	ALW-II-38-3	Ephrin inhibitor	DDR1, EPHA2, EPHA4, EPHB2, EPHB4, EPHB6	Ephrin inhibitor
cp	BRD-K22096725	ALW-II-49-7	Ephrin inhibitor	DDR1, EPHA2, EPHA4, EPHA7, EPHB2, EPHB4, EPHB6	Ephrin inhibitor
cp	BRD-K53979406	ALX-5407	Glycine transporter inhibitor	SLC6A9	Glycine transporter inhibitor
